names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
Manufacture of chemicals and chemical products,,15.904724116046525,,1.255518860988945,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,7.596166763592952,0.599641375312266,11,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of basic metals,,59.160342800775084,,6.485837319925344,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,28.255242054316103,3.0976646639208867,9,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Specialized construction activities,,1.4243966676232167,,0.08881752243108415,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.6802981646098227,0.04241964255355961,7,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Mining of coal and lignite,,2.723831376597067,,1.0289951877117531,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,1.300913943654208,0.4914526644889742,7,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of other non-metallic mineral products,,0.6180948480620183,,0.06099609952685307,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.29520484023106863,0.02913200760692363,5,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of other transport equipment,-0.006581183863492962,0.006649597448808606,0.004144379670191508,0.0003967262439848822,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.0031758772276314195,0.0001894782133166688,4,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Construction of buildings,,0.08136610082184942,,0.01101925671919167,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.03886081055140748,0.005262845871395637,3,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of paper and paper products,0.00831235109338363,0.00831235109338363,0.009461359049508667,0.0011187493071052616,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.00397001574137154,0.0005343196299049072,3,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Extraction of crude petroleum and natural gas,,0.02154523809699865,,0.001997759912055706,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.010290101252432127,0.0009541389925956224,2,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Mining of metal ores,,4.838710840709553,,0.648917000159634,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,2.3109897536513357,0.30992563674649504,2,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Other mining and quarrying,,0.6323180696087435,,0.054764514807719204,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.3019979139113249,0.02615577511256428,2,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of wood and products of wood and cork,,0.012389105409257544,,0.0013317418913526176,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.005917091680043858,0.0006360458326071084,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
