names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.014441134,,0.00452827,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.503121511,0.157762527,
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.014219448,,0.001839871,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.495398081,0.064100134,
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.013947499,0.013947499,0.027697332,0.003216365,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.485923533,0.112056459,
"'market for electricity, high voltage' (kilowatt hour, PK, None)",,0.013714265,,0.003229236,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.47779778,0.112504894,
"'market for electricity, medium voltage' (kilowatt hour, PH, None)",-0.013653798,0.013654981,0.027362346,0.003338246,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.475732341,0.116302732,
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.013654809,,0.002987677,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.475726345,0.104089095,
"'market for electricity, high voltage' (kilowatt hour, MY, None)",,0.013629293,,0.00298633,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.474837403,0.104042168,
"'market for electricity, high voltage' (kilowatt hour, BG, None)",,0.01350236,,0.003816861,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.470415109,0.132977422,
"'market for electricity, medium voltage' (kilowatt hour, FI, None)",0.013498115,0.013498115,0.026483,0.002908113,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.470267212,0.101317123,
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.013449102,0.013449102,0.028840237,0.0027981,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.468559639,0.097484334,
"'market for transport, freight train' (ton kilometer, RoW, None)",,0.013438809,,0.000846436,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.468201037,0.029489402,
"'market for electricity, medium voltage' (kilowatt hour, FR, None)",-0.012669966,0.012669966,0.028748288,0.003615121,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.441414952,0.125948926,
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.012660568,,0.002508559,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.441087528,0.087396889,
"'market for electricity, high voltage' (kilowatt hour, US-PR, None)",,0.012473154,,0.002254095,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.434558106,0.078531474,
"'market for natural gas, high pressure' (cubic meter, RoE, None)",,0.012277495,,0.001423908,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.427741471,0.049608207,
"'market for electricity, high voltage' (kilowatt hour, RS, None)",,0.012017634,,0.002359781,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.418688046,0.08221353,
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-0.011968901,0.011968901,0.023040756,0.002580264,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.416990202,0.089895046,
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.011966415,,0.00150492,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.416903599,0.052430625,
"'market for electricity, high voltage' (kilowatt hour, BY, None)",,0.011961688,,0.002241629,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.416738904,0.078097174,
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.011871294,,0.001258788,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.413589614,0.043855519,
"'market for electricity, high voltage' (kilowatt hour, RO, None)",,0.01168958,,0.003437036,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.407258805,0.11974453,
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.01137665,,0.001206963,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.396356493,0.04204996,
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.011236771,0.011236771,0.018751339,0.002096657,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.391483189,0.073046431,
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.011213548,0.011213548,0.021898738,0.002319523,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.390674117,0.080810967,
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.010957672,0.010957672,0.020145772,0.002161248,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.381759529,0.075296743,
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.010854878,,0.001056942,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.378178247,0.036823285,
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.010764898,,0.002671904,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.375043379,0.093087741,
"'market for electricity, medium voltage' (kilowatt hour, AT, None)",0.010592731,0.010592731,0.02148743,0.002530709,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.369045164,0.088168585,
"'market for electricity, high voltage' (kilowatt hour, FI, None)",,0.010543223,,0.002239777,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.367320328,0.078032657,
