names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,,,
"'market for electricity, high voltage' (kilowatt hour, IR, None)",,0.049548136,,0.006915976,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.042057176,0.008147807,,,,
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.048383034,,0.003670948,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.041068221,0.004324795,,,,
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.047420821,0.047420821,0.060808463,0.007220671,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.04025148,0.008506771,,,,
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,0.04412752,,0.004217668,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.037456079,0.004968892,,,,
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.043160954,,0.005153577,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.036635643,0.0060715,,,,
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.040766194,0.040766194,0.065514984,0.007303873,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.034602936,0.008604793,,,,
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",,0.037475937,,0.01323919,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.031810118,0.015597271,,,,
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,0.034020254,,0.005793444,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.028876885,0.006825336,,,,
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,0.033774837,,0.013092639,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.028668571,0.015424618,,,,
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.032926184,,0.003195817,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.027948222,0.003765036,,,,
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.032598815,,0.004320211,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.027670347,0.005089699,,,,
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.030774591,,0.004301467,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.026121919,0.005067617,,,,
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.028092565,,0.003523892,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.023845377,0.004151545,,,,
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.025062131,,0.002869464,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.0212731,0.003380554,,,,
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.023739826,,0.003955055,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.020150708,0.004659504,,,,
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.023218426,,0.005777732,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.019708136,0.006806826,,,,
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.023128338,,0.005592775,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.019631668,0.006588925,,,,
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.020583788,,0.00323904,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.017471818,0.003815958,,,,
"'market for electricity, high voltage' (kilowatt hour, JP, None)",,0.020400901,,0.003615122,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.01731658,0.004259024,,,,
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.020388061,,0.004498892,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.017305681,0.005300206,,,,
"'market group for transport, freight, light commercial vehicle' (ton kilometer, GLO, None)",,0.020160299,,0.001202758,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.017112354,0.001416986,,,,
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.01882839,,0.004707258,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.01598181,0.005545685,,,,
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.018716312,,0.001960176,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.015886677,0.002309311,,,,
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.018501796,,0.004230605,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.015704593,0.004984134,,,,
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.01817565,0.01817565,0.038040059,0.00452884,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.015427755,0.005335489,,,,
