names,mu,mu_star,sigma,mu_star_conf,reference_product,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for waste mineral oil' (kilogram, RoW, None)",,0.078803091,,0.006640009,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.066889205,0.005636136
"'market for electricity, high voltage' (kilowatt hour, ID, None)",,0.078361151,,0.010737234,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.06651408,0.00911392
"'market for basic oxygen furnace slag' (kilogram, RoW, None)",0.077943111,0.077943111,0.026165975,0.003101132,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.066159242,0.002632286
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.075225749,,0.006232415,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.063852706,0.005290164
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",-0.073521495,0.074394222,0.059413773,0.007316834,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.063146894,0.006210635
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.071435054,0.071435054,0.128525291,0.015472348,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.060635109,0.013133153
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-0.068319145,0.068319145,0.111251931,0.011883464,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.05799028,0.010086856
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.066919832,0.066919832,0.102090409,0.012411028,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.056802523,0.01053466
"'market for railway track' (meter-year, GLO, None)",0.065636939,0.065636939,0.035302544,0.004059705,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.055713585,0.003445936
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,0.062201843,,0.011694851,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.052797826,0.009926759
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.062052387,0.062052387,0.090112682,0.01072726,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.052670965,0.009105454
"'market for electricity, high voltage' (kilowatt hour, IR, None)",,0.057397414,,0.007672722,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.048719757,0.006512718
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.056102621,0.056102621,0.055353043,0.0068091,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.047620718,0.005779663
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.054493656,,0.008934028,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.046255005,0.007583332
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",,0.051033395,,0.006002282,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.043317885,0.005094824
"'market for waste mineral oil' (kilogram, CH, None)",,0.050866065,,0.002860759,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.043175853,0.002428254
"'market for waste wood, untreated' (kilogram, CH, None)",,0.050172534,,0.003150206,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.042587174,0.00267394
"'market for heat, central or small-scale, other than natural gas' (megajoule, CH, None)",,0.05014731,,0.010680924,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.042565763,0.009066123
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.048245675,,0.004420385,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.040951628,0.003752087
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",,0.046072696,,0.011698654,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.039107172,0.009929987
