names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,,,reference_product
Specialized construction activities,1.94E-07,2.08E-07,3.13E-06,3.37E-07,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,1.77E-07,2.86E-07,4,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of metal ores,,0.001046879,,0.000123569,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.000888606,0.000104887,3,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Unknown,1.81E-05,1.83E-05,1.07E-05,1.13E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,1.55E-05,9.61E-07,2,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of food products,,7.61E-05,,6.99E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,6.46E-05,5.94E-06,2,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Water transport,-3.38E-07,5.32E-06,7.44E-06,5.21E-07,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,4.52E-06,4.42E-07,2,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of other transport equipment,,0.002245041,,0.000153625,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.001905624,0.000130399,2,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of wood and products of wood and cork,,3.66E-05,,3.39E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,3.11E-05,2.88E-06,1,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Construction of buildings,,2.50E-05,,1.72E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,2.12E-05,1.46E-06,1,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,2.91E-05,,2.38E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,2.47E-05,2.02E-06,1,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Crop and animal production, hunting and related service activities",,7.28E-05,,7.61E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,6.18E-05,6.46E-06,1,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Forestry and logging,,0.000139689,,1.51E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.00011857,1.28E-05,1,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of machinery and equipment,,1.59E-05,,1.11E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,1.35E-05,9.39E-07,1,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of metal ores,,0.036107119,,0.004355481,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.030648246,0.003696995,72,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of basic metals,,0.398078714,,0.038899281,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.33789498,0.033018273,19,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Electricity, gas, steam and air conditioning supply",,0.445223936,,0.054390064,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.377912528,0.046167074,13,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of electrical equipment,-0.000323293,0.00032549,0.00018873,1.97E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.00027628,1.67E-05,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.049873238,,0.004307263,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.042333127,0.003656067,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.218318803,,0.03493549,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.185312163,0.02965375,6,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,1.32081937,,0.119947508,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,1.121130619,0.101813183,5,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,0.61820231,,0.089941359,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.524739078,0.076343528,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Other mining and quarrying,,0.037515366,,0.003572542,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.031843586,0.003032426,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Land transport and transport via pipelines,,13.96970039,,1.245476868,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,11.8576841,1.057178811,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Civil engineering,,0.557334851,,0.047139896,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.473073897,0.040013027,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of rubber and plastic products,,0.013052691,,0.001704046,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.011079313,0.001446419,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.055715379,,0.004370178,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.047292021,0.00370947,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.018625702,,0.00123604,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.015809766,0.001049169,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of coal and lignite,,0.026377467,,0.002669761,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.022389576,0.002266132,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Construction of buildings,,0.000736516,,5.64E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.000625165,4.79E-05,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Specialized construction activities,0.000124171,0.00031228,0.000434844,3.42E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.000265068,2.90E-05,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of machinery and equipment,0.002534329,0.002558921,0.001484153,0.000157426,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,149,1211.919247,5700,117.8113726,0.00217205,0.000133626,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
